County_FIPS,SVI_county,Covid_cases,CHW_need,priority_high_demand,priority_SVI_hotspot,priority_SVI_pop,priority_hotspot,percentage_scenario_high_demand_base_case_capacity_10,percentage_scenario_high_demand_base_case_capacity_20,percentage_scenario_high_demand_base_case_capacity_30,percentage_scenario_high_demand_base_case_capacity_40,percentage_scenario_high_demand_base_case_capacity_50,percentage_scenario_high_demand_base_case_capacity_60,percentage_scenario_high_demand_base_case_capacity_70,percentage_scenario_high_demand_base_case_capacity_80,percentage_scenario_SVI_high_demand_base_case_capacity_10,percentage_scenario_SVI_high_demand_base_case_capacity_20,percentage_scenario_SVI_high_demand_base_case_capacity_30,percentage_scenario_SVI_high_demand_base_case_capacity_40,percentage_scenario_SVI_high_demand_base_case_capacity_50,percentage_scenario_SVI_high_demand_base_case_capacity_60,percentage_scenario_SVI_high_demand_base_case_capacity_70,percentage_scenario_SVI_high_demand_base_case_capacity_80,percentage_scenario_SVI_hotspot_base_case_capacity_10,percentage_scenario_SVI_hotspot_base_case_capacity_20,percentage_scenario_SVI_hotspot_base_case_capacity_30,percentage_scenario_SVI_hotspot_base_case_capacity_40,percentage_scenario_SVI_hotspot_base_case_capacity_50,percentage_scenario_SVI_hotspot_base_case_capacity_60,percentage_scenario_SVI_hotspot_base_case_capacity_70,percentage_scenario_SVI_hotspot_base_case_capacity_80,percentage_scenario_SVI_pop_base_case_capacity_10,percentage_scenario_SVI_pop_base_case_capacity_20,percentage_scenario_SVI_pop_base_case_capacity_30,percentage_scenario_SVI_pop_base_case_capacity_40,percentage_scenario_SVI_pop_base_case_capacity_50,percentage_scenario_SVI_pop_base_case_capacity_60,percentage_scenario_SVI_pop_base_case_capacity_70,percentage_scenario_SVI_pop_base_case_capacity_80,percentage_scenario_hotspot_base_case_capacity_10,percentage_scenario_hotspot_base_case_capacity_20,percentage_scenario_hotspot_base_case_capacity_30,percentage_scenario_hotspot_base_case_capacity_40,percentage_scenario_hotspot_base_case_capacity_50,percentage_scenario_hotspot_base_case_capacity_60,percentage_scenario_hotspot_base_case_capacity_70,percentage_scenario_hotspot_base_case_capacity_80
1067,0.253731343,27,12,0.006334842,0.031608865,0.009827556,0.057922323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,0.402985075,207,89,0.0760181,0.065030102,0.164186316,0.090794678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.865168539,13.48314607,13.48314607,33.70786517,41.57303371,44.94382022,65.16853933,77.52808989,0,0,0,0,0,0,66.29213483,100,0,13.48314607,13.48314607,13.48314607,33.70786517,41.57303371,44.94382022,58.42696629
1071,0.28358209,205,87,0.074208145,0.091200262,0.052515666,0.267391746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.13793103,24.13793103,31.03448276,32.18390805,40.22988506,73.56321839,85.05747126,0,0,0,0,0,0,0,0,0,24.13793103,24.13793103,32.18390805,40.22988506,83.90804598,85.05747126,85.05747126
1077,0.119402985,157,66,0.05520362,0.012935097,0.037295687,0.060534536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.575757576,7.575757576,16.66666667,16.66666667,19.6969697,0,0,0,0,0,0,0,0,0,0,0,3.03030303,7.575757576,12.12121212,16.66666667,16.66666667
1079,0.149253731,47,22,0.015384615,0.015729836,0.012308273,0.04980948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.63636364,22.72727273,27.27272727,27.27272727,45.45454545,0,0,0,0,0,0,0,0,0,0,0,0,13.63636364,22.72727273,27.27272727,27.27272727
1083,0.194029851,258,106,0.091402715,0.040316402,0.065950593,0.152658555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.20754717,14.1509434,18.86792453,25.47169811,31.13207547,48.11320755,53.77358491,0,0,0,0,0,0,0,0,0,14.1509434,14.1509434,18.86792453,25.47169811,31.13207547,48.11320755,53.77358491
1089,0.044776119,1489,654,0.587330317,0.012286572,0.057580357,0.301753936,0,0,51.83486239,100,100,100,100,100,0,0,0,0,0,0,0,0,3.211009174,3.211009174,4.587155963,5.810397554,15.13761468,19.87767584,24.7706422,29.20489297,0,0,0,0,0,0,0,0,3.211009174,5.810397554,15.90214067,22.47706422,27.52293578,30.58103976,40.97859327,46.78899083
1095,0.492537313,517,210,0.185520362,0.214800547,0.18387717,0.383462541,0,0,0,0,0,0,0,100,0,0,0,0,100,100,100,100,25.23809524,45.23809524,51.9047619,65.71428571,65.71428571,70.47619048,70.47619048,87.14285714,0,0,0,0,0,0,100,100,31.9047619,51.42857143,65.23809524,65.71428571,70,70.47619048,81.9047619,96.19047619
1097,0.567164179,1362,581,0.521266968,0.155887362,0.954771419,0.209279219,0,0,0,28.91566265,100,100,100,100,0,0,58.34767642,100,100,100,100,100,4.647160069,10.49913941,21.51462995,30.63683305,35.62822719,42.68502582,50.77452668,60.4130809,0,0,58.34767642,100,100,100,100,100,4.647160069,6.540447504,14.28571429,26.5060241,31.3253012,36.83304647,46.64371773,50.4302926
1103,0.432835821,420,181,0.159276018,0.128284673,0.203108076,0.234844497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,7.182320442,24.30939227,24.86187845,27.0718232,32.59668508,46.40883978,52.48618785,0,0,0,0,0,100,100,100,3.867403315,7.73480663,24.30939227,24.86187845,27.0718232,32.59668508,46.40883978,51.93370166
1111,0.47761194,108,43,0.03438914,0.179074822,0.036176853,0.318131068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25581395,44.18604651,44.18604651,60.46511628,62.79069767,86.04651163,0,0,0,0,0,0,0,0,0,0,41.86046512,44.18604651,44.18604651,60.46511628,74.41860465,86.04651163
1113,0.865671642,233,96,0.082352941,0.283396338,0.198331158,0.262866084,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,32.29166667,50,55.20833333,60.41666667,80.20833333,90.625,93.75,93.75,0,0,0,0,0,51.04166667,100,100,12.5,42.70833333,50,55.20833333,55.20833333,60.41666667,81.25,90.625
1115,0.059701493,300,130,0.113122172,0.013696438,0.013378351,0.22826729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32.30769231,38.46153846,45.38461538,45.38461538,45.38461538,0,0,0,0,0,0,0,0,0,20,32.30769231,39.23076923,45.38461538,45.38461538,46.15384615,71.53846154
1117,0.014925373,700,296,0.263348416,0,0.004949032,0.209270395,0,0,0,0,0,82.77027027,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.716216216,11.82432432,0,0,0,0,0,0,0,0,0,0,0,0,3.716216216,6.081081081,11.82432432,20.27027027
1121,0.776119403,173,75,0.063348416,0.141346939,0.248005748,0.107660246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,6.666666667,12,26.66666667,30.66666667,48,62.66666667,80,0,0,0,0,17.33333333,100,100,100,0,6.666666667,6.666666667,8,13.33333333,26.66666667,30.66666667,42.66666667
2261,0.137931034,21,10,0.076335878,0.053160353,0.009878853,0.106320706,0,0,0,100,100,100,100,100,0,0,0,100,100,100,100,100,0,0,70,100,100,100,100,100,0,0,0,100,100,100,100,100,0,50,100,100,100,100,100,100
4021,0.333333333,1850,717,0.062787407,0.163608706,0.16319869,0.370882869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41283124,20.92050209,22.31520223,32.91492329,41.28312413,49.23291492,50.20920502,54.9511855,0,0,0,0,0,0,0,0,9.065550907,20.78103208,20.92050209,25.38354254,27.33612273,32.91492329,41.28312413,49.23291492
5009,0.12,26,12,0.029411765,0.004780572,0.037676754,0.022441569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,25,41.66666667,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,16.66666667,25,66.66666667
5011,0.986666667,30,14,0.034759358,0.173108278,0.095286515,0.109012838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,50,100,100,100,0,0,0,0,0,0,0,100,0,0,0,0,21.42857143,50,85.71428571,100
5033,0.253333333,118,46,0.120320856,0.025137631,0.14103053,0.059940486,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,36.95652174,43.47826087,52.17391304,65.2173913,84.7826087,0,0,0,0,0,0,0,100,0,0,0,41.30434783,43.47826087,52.17391304,65.2173913,82.60869565
5037,0.413333333,15,7,0.016042781,0.022891507,0.060905424,0.030582906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,28.57142857,28.57142857,28.57142857,28.57142857,0,0,0,0,0,0,0,0,0,0,0,14.28571429,28.57142857,28.57142857,28.57142857,28.57142857
5045,0.133333333,296,118,0.312834225,0.017153629,0.145545495,0.080530117,0,0,0,0,0,100,100,100,0,0,0,0,0,0,86.44067797,100,0,0,0,0,14.40677966,17.79661017,27.11864407,37.28813559,0,0,0,0,0,0,100,100,0,0,0,3.389830508,15.25423729,22.03389831,33.05084746,52.54237288
5047,0.226666667,12,5,0.010695187,0.008238182,0.033630378,0.01876826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0,0,60,80,80,80,80
5051,0.68,88,36,0.093582888,0.03374003,0.605507768,0.026460173,0,0,0,0,0,0,0,19.44444444,0,0,0,0,0,0,100,100,0,0,0,13.88888889,33.33333333,58.33333333,83.33333333,86.11111111,0,0,0,100,100,100,100,100,0,0,0,0,25,41.66666667,61.11111111,86.11111111
5053,0.093333333,17,7,0.016042781,0.004437254,0.012306171,0.028341762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,28.57142857,28.57142857,42.85714286,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,28.57142857,42.85714286
